	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
ABRACL	52	64	54	37	66	80	25	22
ABT1	205	124	184	148	131	128	208	187
ABTB1	108	96	201	56	83	80	115	104
ABTB2	142	346	116	238	318	132	98	78
ACAA1	220	187	187	178	159	173	228	174
ACAA2	205	308	165	184	169	210	126	167
ACACA	364	646	236	414	321	368	337	270
ACAD10	164	134	220	108	113	130	151	158
ACAD8	69	67	70	69	73	66	53	88
ACAD9	248	221	176	222	161	257	206	206
ACADM	505	581	316	299	645	264	189	205
ACADS	79	124	42	121	63	95	107	90
ACADSB	158	146	114	89	136	110	127	54
ACADVL	1045	1140	761	1040	891	1438	1378	780
ACAP1	1090	409	884	557	954	786	921	496
ACAP2	504	380	473	394	512	343	431	283
ACAT1	199	199	187	187	297	208	148	174
ACAT2	354	1052	244	521	439	283	299	417
ACBD3	234	217	279	213	242	194	198	228
ACBD5	87	70	79	93	88	70	100	83
ACBD6	218	154	170	163	228	197	228	117
ACD	604	175	326	168	230	335	318	126
ACIN1	2043	995	1797	1107	1016	1223	1401	1521
ACLY	2510	3493	1774	1729	1744	1910	1988	1527
ACO1	166	261	138	176	211	174	121	124
ACO2	1458	1201	1223	1411	1785	1276	1485	1032
ACOT13	157	114	91	94	85	121	48	80
ACOT2	146	111	103	59	62	93	92	53
ACOT7	94	147	66	174	102	154	109	166
ACOT8	91	62	101	63	81	73	109	100
ACOT9	587	381	288	306	517	256	293	133
ACOX1	410	420	328	273	308	298	259	222
ACOX3	128	97	182	121	187	78	140	191
ACP1	279	265	227	285	238	274	311	278
ACP2	137	120	124	122	123	99	110	97
ACP5	195	190	258	430	673	87	181	397
ACSF2	33	59	67	36	45	45	48	78
ACSF3	218	121	232	122	126	200	233	190
ACSL1	1180	1607	680	596	812	711	491	430
ACSL3	269	753	253	233	385	152	276	199
ACSL4	1442	1620	1123	1128	1322	996	1072	496
ACSL5	590	556	464	445	390	416	773	444
ACSS1	128	77	75	114	92	133	111	105
ACSS2	52	148	53	123	71	59	67	194
ACTA2	250	118	131	169	117	191	140	114
ACTB	217508	81922	132730	78797	77865	97261	78861	54469
ACTG1	33108	19140	22459	18042	18161	21925	27048	11986
ACTL6A	266	361	248	252	331	362	202	219
ACTN1	416	1503	260	521	227	271	293	239
ACTN4	1385	1938	931	1278	943	874	563	838
ACTR10	187	193	146	163	221	129	114	117
ACTR1A	914	522	701	456	436	551	499	418
ACTR1B	431	264	487	322	424	499	516	352
ACTR2	5123	5398	3529	3409	3706	4244	2317	2043
ACTR3	4329	3483	3504	2647	4291	3173	2267	1535
ACTR5	57	58	65	49	62	38	67	66
ACTR6	118	232	123	134	154	125	89	112
ACTR8	227	199	320	213	251	290	247	255
ACVR1	68	115	57	82	38	47	146	96
ADA	69	126	76	125	56	145	164	310
ADAM10	368	658	399	492	631	392	476	345
ADAM15	61	56	47	148	160	81	99	75
ADAM17	144	179	143	196	193	136	159	154
ADAM19	166	440	342	304	396	124	75	541
ADAM28	158	32	180	87	25	241	146	209
ADAM8	1093	643	941	313	168	536	643	762
ADAM9	22	209	26	70	88	25	36	42
ADAMDEC1	166	645	288	171	204	470	80	155
ADAP1	51	52	43	75	153	122	37	23
ADAP2	23	29	46	40	94	71	85	30
ADAR	7231	4393	9900	4101	2617	6883	6004	7349
ADAT1	51	81	80	66	77	87	65	77
ADAT2	33	26	40	32	29	58	68	43
ADCK1	67	46	47	69	32	42	63	67
ADCK2	61	79	104	118	129	159	141	163
ADCK3	247	175	246	160	110	191	201	289
ADCK4	81	53	72	88	51	78	102	110
ADCY3	373	409	584	497	1003	536	388	622
ADCY7	410	200	569	269	283	329	342	426
ADD1	2417	1311	2334	1328	1672	1840	1594	1301
ADD3	140	196	350	192	356	188	166	412
ADGRE2	224	188	79	197	156	112	147	31
ADGRE5	4477	1147	3426	1871	3668	2258	2942	1088
ADH5	439	322	361	267	214	341	296	288
ADI1	278	160	139	173	90	96	118	165
ADIPOR1	101	109	199	292	374	222	503	359
ADIPOR2	83	186	119	156	165	137	103	148
ADIRF	554	23	238	82	103	90	154	66
ADK	557	634	372	439	580	653	630	203
ADNP	1068	687	1344	702	869	916	991	799
ADNP2	106	121	91	172	198	196	120	105
ADO	233	102	237	190	200	324	239	187
ADORA2A	180	148	230	206	227	265	162	383
ADPGK	339	400	337	233	226	197	374	342
ADPRH	112	94	170	66	119	85	81	122
ADPRHL2	78	70	119	99	153	94	114	118
ADPRM	38	30	36	29	55	23	41	30
ADRBK1	1466	875	2040	1307	1069	1584	1687	2361
ADRBK2	381	217	594	339	558	319	512	377
ADRM1	621	497	641	571	554	479	721	772
ADSL	354	377	329	408	412	484	631	397
ADSS	215	334	217	348	342	302	177	223
AEBP1	549	152	342	514	273	215	334	459
AEBP2	338	312	248	309	280	251	198	219
AEN	513	207	277	287	119	297	323	393
AES	1458	1140	1249	1069	755	1123	1489	1239
AFF1	307	269	515	351	386	310	346	522
AFF3	1642	323	3162	646	894	600	757	1303
AFF4	241	265	354	354	496	186	336	390
AFG3L2	237	409	194	325	266	305	431	269
AFMID	140	91	118	71	63	104	108	83
AFTPH	428	333	635	381	673	373	542	387
AGA	131	168	149	101	84	103	101	124
AGAP2	177	143	114	165	173	162	126	117
AGAP3	97	126	88	176	199	92	131	117
AGBL5	36	31	52	89	73	83	98	108
AGFG1	569	334	548	396	434	472	510	409
AGFG2	289	125	279	150	115	221	285	210
AGGF1	90	117	119	84	121	95	141	92
AGK	176	321	97	208	220	243	117	63
AGL	502	313	536	318	386	417	383	308
AGMAT	68	134	80	74	26	50	81	191
AGO1	219	139	277	184	208	236	175	216
AGO2	254	186	210	268	344	212	239	158
AGO3	99	101	144	79	144	120	146	88
AGO4	42	41	73	65	110	70	68	58
AGPAT1	77	52	123	82	80	99	101	166
AGPAT3	374	258	417	318	190	301	418	631
AGPAT5	139	150	145	125	97	106	148	186
AGPAT6	163	188	226	130	176	173	229	146
AGPS	257	404	266	284	345	320	192	142
AGRN	25	309	26	99	277	22	39	58
AGTPBP1	128	181	175	168	289	213	266	168
AHCTF1	323	524	336	361	518	413	397	185
AHCY	719	752	620	694	420	937	744	932
AHCYL1	1130	683	861	864	694	961	1180	619
AHCYL2	131	182	68	141	77	138	73	89
AHDC1	65	37	106	120	181	69	52	166
AHNAK	11308	2619	10794	6142	7892	5710	5820	3373
AHSA1	866	612	468	634	401	479	502	693
AIDA	35	133	42	100	69	122	200	30
AIFM1	428	456	219	417	265	294	435	297
AIFM2	28	71	25	63	87	29	32	51
AIM1	60	174	262	189	255	136	67	634
AIM2	63	49	140	152	125	107	214	264
AIMP1	369	251	291	197	175	284	180	240
AIMP2	415	246	275	227	304	280	235	155
AIP	1147	507	844	633	421	685	921	934
AK2	598	640	345	389	223	470	269	381
AK3	266	212	228	144	62	168	350	203
AK6	233	185	124	129	144	126	112	84
AKAP1	184	137	173	176	138	165	214	191
AKAP10	72	79	112	92	98	76	175	110
AKAP11	667	290	920	386	874	670	639	321
AKAP13	1919	1244	3007	1143	1822	1231	1237	1672
AKAP8	288	178	245	201	162	164	250	291
AKAP8L	527	355	439	310	360	298	525	301
AKAP9	289	450	547	291	465	418	495	351
AKIRIN1	184	182	253	181	277	230	247	166
AKIRIN2	704	359	395	320	383	276	172	206
AKNA	1860	697	2162	949	1426	1213	1016	1201
AKR1A1	1401	753	1075	822	582	951	1121	1101
AKR1B1	481	890	311	297	354	332	364	168
AKR7A2	150	174	164	125	100	153	182	175
AKT1	226	177	268	444	287	537	416	427
AKT1S1	62	21	29	61	29	46	54	53
AKT2	433	315	498	735	1261	441	765	505
ALAD	152	105	157	143	82	134	129	217
ALAS1	519	764	460	434	503	513	429	389
ALCAM	463	464	352	689	852	481	282	293
ALDH16A1	343	147	182	308	216	197	183	264
ALDH18A1	837	1066	794	821	852	758	808	817
ALDH1B1	147	178	86	98	80	112	167	95
ALDH2	387	579	161	427	1099	102	84	192
ALDH3A2	113	73	98	81	65	91	111	119
ALDH4A1	109	41	63	51	45	82	78	37
ALDH5A1	157	77	166	129	89	161	136	206
ALDH6A1	235	101	177	117	163	141	107	108
ALDH9A1	253	324	304	206	355	204	167	210
ALDOA	5684	4876	4416	3708	2983	3910	3331	4507
ALDOC	422	528	221	156	128	187	182	224
ALG1	112	141	85	129	95	110	128	111
ALG10	132	195	68	107	86	108	64	48
ALG10B	33	112	22	57	52	66	41	31
ALG11	34	75	71	35	68	55	58	43
ALG12	81	84	124	71	58	94	139	144
ALG13	211	159	201	140	174	163	133	167
ALG2	330	263	389	256	265	208	447	453
ALG3	149	88	129	118	88	135	210	184
ALG5	87	148	99	109	165	90	242	84
ALG6	65	79	40	41	28	42	35	42
ALG8	161	119	160	102	110	120	118	133
ALG9	66	81	73	82	74	98	143	79
ALKBH1	166	81	124	113	80	106	98	130
ALKBH2	91	63	50	81	46	102	122	73
ALKBH3	59	62	39	66	68	46	86	53
ALKBH4	42	29	37	24	22	30	43	43
ALKBH5	272	193	411	385	425	380	408	448
ALKBH6	87	33	78	70	53	78	76	101
ALKBH7	218	98	184	214	244	326	485	251
ALKBH8	61	46	55	49	46	54	72	53
ALMS1	160	192	279	201	246	271	151	256
ALOX5	1130	483	1243	263	55	392	680	3159
ALOX5AP	165	135	346	97	147	103	58	167
ALPK1	164	123	442	176	270	269	702	252
ALS2	89	73	87	89	87	86	111	99
ALYREF	798	828	620	646	473	647	443	577
AMBRA1	726	320	573	450	416	418	499	408
AMD1	83	192	72	188	118	170	207	148
AMDHD2	65	70	94	61	83	78	75	91
AMER1	31	22	42	34	30	33	27	66
AMFR	613	460	907	619	793	584	828	819
AMICA1	495	676	237	99	21	177	164	116
AMIGO2	84	48	67	56	261	52	114	23
AMMECR1	78	56	55	102	49	58	55	74
AMMECR1L	123	84	95	106	126	107	83	64
AMN1	29	24	27	26	28	32	21	37
AMPD2	344	185	229	393	221	283	306	349
AMPD3	408	442	497	297	654	220	231	314
AMZ2	192	146	237	130	172	213	358	217
ANAPC1	577	555	455	597	430	697	759	334
ANAPC11	207	122	99	128	51	125	161	168
ANAPC13	112	152	84	120	89	102	53	124
ANAPC15	59	65	71	59	37	73	112	93
ANAPC16	837	334	493	244	276	341	349	293
ANAPC2	352	195	288	266	172	290	310	249
ANAPC4	146	154	149	154	198	146	162	110
ANAPC5	458	600	544	806	615	598	778	1032
ANAPC7	229	478	213	261	271	182	172	218
ANGEL1	158	124	110	113	68	139	140	104
ANGEL2	129	127	178	109	206	156	151	105
ANK3	32	21	22	34	21	31	27	28
ANKFY1	205	158	184	225	170	212	219	256
ANKH	92	94	92	224	90	215	305	160
ANKIB1	209	100	409	239	416	311	318	293
ANKLE1	70	41	28	86	47	99	45	41
ANKLE2	1979	1415	1486	1158	1433	1834	2435	635
ANKMY1	28	22	46	28	50	25	35	47
ANKMY2	70	59	59	57	70	34	32	50
ANKRA2	46	34	58	27	43	36	62	28
ANKRD10	488	248	649	329	326	331	394	576
ANKRD11	593	476	528	358	417	528	489	316
ANKRD12	289	307	686	208	574	250	420	413
ANKRD13A	798	692	949	850	1010	790	1877	605
ANKRD13C	77	40	70	94	102	58	140	86
ANKRD13D	107	70	188	121	134	157	170	140
ANKRD16	36	20	61	36	53	49	65	39
ANKRD17	636	629	995	928	1077	883	1034	1183
ANKRD26	61	63	71	54	123	80	64	42
ANKRD27	255	182	287	254	288	243	291	268
ANKRD28	136	395	144	208	173	218	255	123
ANKRD32	41	47	28	41	38	65	37	21
ANKRD33B	761	242	342	185	249	299	382	79
ANKRD36	41	59	77	79	83	136	116	60
ANKRD36B	35	36	46	52	52	78	64	32
ANKRD40	113	77	140	145	140	178	199	153
ANKRD44	1358	753	1708	782	797	1144	1226	905
ANKRD46	64	61	51	35	36	31	40	38
ANKRD49	30	27	28	30	40	39	61	24
ANKRD52	382	439	375	500	357	284	343	507
ANKRD54	75	37	63	61	42	59	72	58
ANKS1A	164	125	150	109	90	88	115	149
ANKZF1	281	160	296	157	168	255	257	221
ANO6	124	308	107	192	258	122	53	97
ANO9	180	49	308	78	79	128	148	233
ANP32A	1237	1448	1213	794	962	1404	582	737
ANP32B	1237	1776	747	1087	1182	1080	760	703
ANP32E	864	1310	720	983	1340	816	492	577
ANXA1	43	183	62	141	92	68	37	140
ANXA11	1941	709	2056	1082	1545	1292	2011	1421
ANXA2	544	1143	560	442	592	503	361	217
ANXA4	409	341	175	720	384	566	402	177
ANXA5	2326	1765	1806	2134	1982	1660	676	1579
ANXA6	12798	7418	8006	5847	7747	7801	6691	2170
ANXA7	2475	1781	2179	1181	1472	1447	1021	1215
AP1AR	34	40	44	34	68	58	74	21
AP1B1	2589	1540	1882	1239	1347	1655	1376	1348
AP1G1	453	483	628	554	722	534	547	477
AP1G2	695	295	714	270	429	449	372	319
AP1M1	809	395	674	561	326	499	447	917
AP1S1	350	135	166	224	123	186	208	175
AP1S2	101	93	80	106	77	103	87	43
AP1S3	262	184	156	127	157	117	163	71
AP2A1	895	651	737	1139	835	958	892	1036
AP2A2	494	332	369	376	426	418	479	239
AP2B1	2065	1250	1825	1066	1326	1311	1218	765
AP2M1	616	581	644	732	661	697	830	853
AP2S1	383	242	243	223	177	208	166	222
AP3B1	709	664	697	517	542	645	849	617
AP3D1	1220	818	1042	1228	1032	961	1025	1126
AP3M1	523	447	562	420	456	558	526	392
AP3M2	90	78	70	45	60	125	92	37
AP3S1	75	60	30	97	96	47	53	32
AP4B1	163	123	191	166	194	195	181	155
AP4E1	74	109	83	120	135	99	111	81
AP4M1	105	69	84	78	76	88	118	76
AP5B1	121	88	94	147	97	85	70	147
AP5M1	90	129	137	65	117	88	117	79
AP5Z1	516	328	402	259	235	212	296	257
APAF1	101	106	133	90	167	102	138	63
APBA3	171	102	193	140	126	152	162	204
APBB1	213	63	162	123	181	237	150	96
APBB1IP	2525	1690	3061	1325	1635	1491	1442	1129
APBB2	78	122	53	100	31	100	53	99
APC	152	163	333	200	310	211	302	270
APEH	755	494	523	585	401	619	588	713
APEX1	1369	912	1104	689	860	1210	963	880
APEX2	178	155	185	195	151	219	174	276
APH1A	316	241	323	581	695	550	863	436
APH1B	57	131	137	59	118	53	49	101
API5	882	838	586	641	664	655	603	397
APIP	302	280	217	110	117	148	223	89
APLF	20	31	41	22	56	31	46	36
APLP2	969	1334	617	745	725	632	539	476
APMAP	179	362	203	192	173	152	212	250
APOA1BP	363	239	231	294	254	271	421	343
APOBEC3B	70	128	77	127	55	85	122	103
APOBEC3C	634	392	716	346	487	474	527	436
APOBEC3D	151	108	159	158	122	174	253	170
APOBEC3F	166	149	241	134	167	190	205	185
APOBEC3G	634	440	599	539	649	633	873	727
APOL1	398	481	510	335	151	386	361	701
APOL2	144	141	246	214	147	187	331	389
APOL3	74	130	112	123	92	135	141	268
APOL6	170	138	301	138	60	270	350	271
APOO	69	56	40	31	30	25	31	32
APOOL	93	78	104	42	72	41	34	46
APOPT1	41	58	68	37	77	60	94	34
APP	617	3078	381	1049	115	691	661	2337
APPBP2	178	147	210	178	177	161	174	204
APPL1	430	425	447	341	291	422	512	462
APPL2	36	54	40	53	48	51	57	57
APRT	704	332	239	272	167	468	607	265
APTX	116	111	97	115	125	119	144	106
AQR	888	649	782	472	689	705	591	354
ARAF	252	193	387	350	373	435	516	546
ARAP1	969	453	986	570	575	678	519	757
ARAP2	55	253	210	225	389	137	227	220
ARCN1	1533	1397	1091	1382	1260	1023	968	1066
AREL1	153	109	188	225	244	204	237	194
ARF1	1823	1378	1560	870	598	991	1034	1351
ARF3	627	541	508	354	339	346	251	316
ARF4	403	403	378	298	431	274	184	298
ARF5	720	464	423	443	449	445	555	277
ARF6	1265	676	1107	810	848	856	1167	758
ARFGAP1	204	130	136	137	125	92	108	139
ARFGAP2	977	545	521	504	393	490	388	463
ARFGAP3	227	201	256	207	518	139	170	172
ARFGEF1	433	400	615	421	761	437	483	362
ARFGEF2	482	466	756	544	707	550	645	684
ARFIP1	98	113	94	88	118	85	63	56
ARFIP2	136	75	126	102	120	104	141	145
ARFRP1	200	168	130	101	104	148	140	75
ARGLU1	220	285	291	197	175	196	173	249
ARHGAP1	684	473	675	505	375	393	380	672
ARHGAP12	127	105	135	112	168	93	128	102
ARHGAP15	689	390	711	344	370	378	331	466
ARHGAP17	738	246	1195	415	954	562	726	603
ARHGAP19	79	142	102	140	123	117	80	134
ARHGAP24	859	123	1263	347	579	495	333	592
ARHGAP25	4881	2391	4095	1805	2361	2864	3258	1882
ARHGAP27	83	89	161	93	96	128	96	182
ARHGAP30	1218	664	1349	940	1663	848	991	746
ARHGAP31	1169	584	1413	800	570	1105	812	1046
ARHGAP35	156	136	151	251	190	177	183	222
ARHGAP4	240	194	263	267	297	264	176	453
ARHGAP42	96	46	39	114	86	40	82	46
ARHGAP5	153	201	143	238	246	231	310	131
ARHGAP9	264	167	412	226	361	235	282	371
ARHGDIA	2967	1285	2345	1480	1473	1758	1779	1567
ARHGDIB	2696	1671	1115	2039	1374	1560	822	1317
ARHGEF1	1184	612	809	1020	666	657	951	1127
ARHGEF12	119	104	167	146	135	336	200	148
ARHGEF18	843	459	660	389	311	482	554	456
ARHGEF2	2876	1147	2447	1326	2394	1742	1690	890
ARHGEF3	290	181	573	304	293	212	450	919
ARHGEF6	198	252	315	199	219	177	191	333
ARHGEF7	519	379	639	290	417	332	430	367
ARID1A	2059	955	2150	1361	1505	1540	1473	1592
ARID1B	815	465	1036	676	685	717	682	951
ARID2	392	289	413	335	385	341	324	303
ARID3A	560	115	522	408	382	212	246	365
ARID3B	150	78	178	85	62	146	135	118
ARID4A	227	169	238	205	314	239	167	156
ARID4B	675	528	792	415	408	600	653	464
ARID5A	1759	947	1147	1080	738	1458	1535	1393
ARID5B	1081	408	1342	775	755	984	1226	981
ARIH1	437	351	355	376	451	372	382	216
ARIH2	184	204	218	229	275	275	353	207
ARL1	300	335	246	295	350	273	138	186
ARL13B	58	79	43	30	39	47	47	21
ARL14EP	185	158	154	95	99	78	117	104
ARL2	1478	772	776	408	257	744	897	559
ARL2BP	82	107	59	55	65	61	73	30
ARL3	95	49	62	60	71	50	100	36
ARL5B	46	38	43	57	36	37	73	71
ARL6IP1	604	991	884	568	1004	641	365	474
ARL6IP4	589	249	601	314	325	455	439	645
ARL6IP5	1047	661	806	539	655	526	460	506
ARL6IP6	80	164	103	132	188	159	94	116
ARL8A	506	295	460	362	571	309	364	239
ARL8B	576	623	324	347	396	306	226	160
ARMC1	209	192	207	173	203	210	128	154
ARMC10	46	33	46	44	44	62	97	41
ARMC5	214	86	141	107	59	146	116	132
ARMC6	334	272	208	287	121	271	283	348
ARMC8	322	194	292	213	330	206	212	158
ARMCX2	42	49	139	34	92	67	47	105
ARMCX3	319	122	187	137	227	108	177	78
ARMCX5	56	34	61	33	42	38	64	47
ARMCX6	54	42	39	41	43	44	32	27
ARMT1	230	247	198	140	199	154	93	98
ARNT	603	309	729	531	693	541	622	539
ARNTL	22	46	31	58	71	25	65	43
ARPC1A	224	120	209	231	171	291	572	187
ARPC1B	3499	2471	2536	2456	2142	2486	2837	2253
ARPC2	5841	3146	4833	3105	3149	4054	4092	3099
ARPC3	1716	3636	1435	1730	1644	1317	827	907
ARPC4	467	356	594	304	361	482	538	336
ARPC5	1125	1531	897	964	1222	897	720	554
ARPC5L	482	353	350	309	357	395	398	224
ARPP19	308	329	383	201	239	209	255	250
ARRB2	268	449	289	292	293	343	438	315
ARRDC1	186	152	138	120	136	121	193	144
ARRDC2	78	58	75	90	146	62	94	62
ARSA	98	139	101	84	63	69	90	150
ARSB	318	306	392	217	120	308	408	317
ARSG	34	24	45	30	25	57	64	53
ASAH1	453	510	461	377	671	220	368	322
ASAP1	728	489	525	545	608	584	462	202
ASB1	76	41	80	81	71	89	143	107
ASB6	110	70	116	101	91	91	96	119
ASB7	88	78	92	71	83	78	142	61
ASB8	133	113	151	119	128	123	178	112
ASCC1	313	273	291	217	412	283	381	120
ASCC2	511	284	514	370	348	426	396	426
ASCC3	838	592	844	655	797	873	870	576
ASF1A	116	56	150	95	76	162	80	152
ASF1B	85	281	63	325	113	206	43	331
ASH1L	445	222	1022	497	881	559	605	826
ASH2L	457	288	319	341	268	311	262	369
ASL	231	83	181	201	226	174	141	172
ASNA1	432	357	373	452	349	348	416	452
ASNS	1134	1686	893	577	744	927	649	373
ASNSD1	115	80	82	80	71	95	181	77
ASPHD2	112	39	127	80	154	139	264	48
ASPSCR1	123	73	91	132	68	97	121	173
ASTE1	55	41	46	46	40	53	51	49
ASUN	192	208	124	202	208	205	265	114
ASXL1	798	423	1206	601	1041	730	657	806
ASXL2	320	302	532	324	479	396	420	340
ATAD1	310	330	259	188	285	288	241	94
ATAD2	94	436	131	369	393	466	161	267
ATAD2B	155	128	200	193	234	185	186	172
ATAD3A	88	162	77	154	78	112	167	125
ATAD3B	64	67	53	81	59	111	88	59
ATAD5	74	174	93	155	111	229	124	140
ATE1	100	86	122	93	125	81	90	111
ATF1	170	180	150	108	175	129	128	82
ATF2	313	169	431	246	460	254	339	266
ATF3	182	377	164	145	127	194	223	105
ATF4	552	1128	971	550	1434	1392	2344	417
ATF5	2218	707	3080	611	1043	1065	3370	1510
ATF6	534	485	554	351	671	354	394	311
ATF6B	1012	534	791	537	574	494	614	728
ATF7	213	157	223	213	154	222	184	241
ATF7IP	1743	1379	2230	1150	1143	1645	1278	1646
ATG101	241	140	117	141	162	135	141	76
ATG12	188	154	148	117	129	180	135	68
ATG13	161	212	252	235	245	230	340	278
ATG16L1	85	97	77	109	99	67	108	109
ATG16L2	29	41	26	50	48	57	23	65
ATG2A	288	153	253	221	192	189	212	260
ATG2B	194	186	318	194	306	214	246	222
ATG3	212	407	123	316	288	270	227	165
ATG4A	66	33	42	40	70	36	64	25
ATG4B	488	391	413	328	340	290	341	307
ATG4C	89	84	93	90	105	72	97	101
ATG4D	53	24	72	69	64	53	76	101
ATG5	120	148	136	134	149	91	72	124
ATG7	153	218	177	157	169	189	142	120
ATG9A	234	103	214	177	154	184	215	197
ATHL1	57	36	34	56	28	58	39	88
ATIC	1608	1365	1063	1120	984	1391	1349	921
ATL2	215	173	120	202	190	147	191	137
ATL3	280	372	356	339	479	306	296	315
ATM	526	534	1004	435	1051	568	497	540
ATMIN	54	49	74	96	124	103	174	95
ATN1	432	182	464	467	436	412	371	654
ATOX1	438	589	269	255	269	192	129	198
ATP10D	58	34	190	83	181	112	86	140
ATP11A	319	428	385	301	319	353	337	386
ATP11B	186	263	347	422	626	392	588	295
ATP11C	116	117	165	139	167	131	194	114
ATP13A1	450	308	608	571	435	471	686	880
ATP13A2	118	67	154	119	163	107	138	151
ATP13A3	199	549	280	350	542	397	356	251
ATP1A1	1728	2307	1676	2538	2474	1845	1303	2119
ATP1A3	87	38	62	108	51	89	99	64
ATP1B1	303	210	332	74	118	144	58	91
ATP1B3	474	1090	274	419	603	289	183	240
ATP2A2	1288	2488	1042	1976	1349	1246	1754	1432
ATP2A3	665	476	585	789	596	471	344	1076
ATP2B1	1532	946	1144	1527	884	1780	2133	891
ATP2B4	568	660	405	234	45	389	249	439
ATP2C1	229	319	277	322	342	310	572	282
ATP5A1	4913	3557	3738	2967	3332	3590	4561	2581
ATP5B	7044	7907	4623	5905	4472	5641	7461	4543
ATP5C1	1049	1010	946	708	683	800	789	719
ATP5D	271	217	219	279	226	408	394	346
ATP5E	1248	1078	601	678	556	538	265	360
ATP5F1	1798	1314	1247	819	852	1148	769	607
ATP5G1	1138	447	806	379	311	613	472	536
ATP5G2	1204	1600	1192	1165	1269	1457	2025	1219
ATP5G3	2380	1196	1166	1684	1137	1172	989	1144
ATP5H	570	571	477	360	337	474	255	372
ATP5I	197	325	327	229	302	325	216	526
ATP5J	369	541	359	302	373	383	231	269
ATP5J2	202	215	340	134	190	239	154	208
ATP5L	972	818	812	607	503	695	608	566
ATP5O	471	547	489	448	552	545	673	537
ATP5S	64	63	84	66	60	74	74	98
ATP5SL	157	109	110	149	114	166	196	131
ATP6AP1	965	1049	975	728	905	497	624	798
ATP6AP2	650	595	443	372	462	325	230	265
ATP6V0A1	458	203	518	280	591	253	208	276
ATP6V0A2	2025	1165	1117	693	435	1265	2591	531
ATP6V0B	362	350	252	301	248	175	313	389
ATP6V0C	875	1015	1048	541	835	651	726	730
ATP6V0D1	1107	1052	1203	731	1324	698	782	654
ATP6V0E1	1520	1075	1826	672	942	738	474	692
ATP6V1A	853	692	604	523	525	560	431	384
ATP6V1B2	682	837	462	443	524	321	368	332
ATP6V1C1	133	248	126	196	184	135	170	123
ATP6V1D	214	140	136	131	142	94	108	82
ATP6V1E1	432	492	503	297	424	353	246	308
ATP6V1F	214	255	232	196	183	229	264	260
ATP6V1G1	374	439	271	208	216	137	138	230
ATP6V1H	355	351	326	330	361	279	207	276
ATP7A	162	86	184	120	168	124	132	98
ATP8A1	524	429	685	489	417	744	877	461
ATP8B2	138	86	329	249	287	379	288	339
ATP9B	177	125	210	159	179	117	155	188
ATPAF1	207	339	215	246	144	261	282	336
ATPAF2	136	60	82	91	71	97	73	98
ATPIF1	412	370	477	232	244	366	166	281
ATR	221	312	326	302	445	333	368	266
ATRAID	291	307	378	250	267	324	330	398
ATRIP	63	68	70	71	61	79	121	84
ATRN	423	257	298	263	140	305	517	362
ATRX	403	489	651	431	775	557	605	416
ATXN1	199	58	386	94	400	202	301	101
ATXN10	780	479	578	509	623	498	562	423
