ID	MRNA_A	MRNA_B	MRNA_C	MRNA_D	A	B	C	D
ABLIM2	0	0	0	0	0	0	0	0
ABLIM3	19	23	9	14	157	104	325	329
ABO	0	0	0	0	0	0	0	0
ABR	71	80	38	45	1491	833	2185	1641
ABRA	0	1	0	1	0	0	0	0
ABRACL	3	3	3	4	363	334	592	617
ABT1	10	7	6	11	400	328	575	379
ABTB1	1	0	0	0	199	207	238	244
ABTB2	94	111	62	66	354	317	468	673
ACAA1	4	2	2	3	626	526	870	915
ACAA2	0	4	4	5	528	622	783	772
ACACA	41	42	32	32	1373	2011	2290	3711
ACACB	4	4	1	5	31	15	30	45
ACAD10	2	1	1	2	98	138	133	224
ACAD11	10	21	14	26	199	238	276	389
ACAD8	0	3	2	0	232	265	318	459
ACAD9	4	1	1	2	927	1023	1476	1605
ACADL	0	0	0	0	58	22	84	62
ACADM	3	14	3	7	946	1053	1427	1589
ACADS	1	0	0	0	213	209	273	219
ACADSB	117	158	104	133	351	347	485	616
ACADVL	70	98	88	82	2823	2162	3514	3516
ACAN	1	5	2	5	0	8	1	7
ACAP1	20	19	14	15	8	10	10	6
ACAP2	15	15	8	10	1107	1225	1597	1927
ACAP3	3	2	1	3	273	171	357	396
ACAT1	8	16	5	14	1488	1925	2087	2912
ACAT2	2555	1420	1703	1691	1699	1800	3600	4711
ACBD3	17	9	11	11	710	787	926	963
ACBD4	9	20	16	12	59	33	64	54
ACBD5	13	21	18	13	537	400	641	584
ACBD6	4	3	2	0	150	138	202	187
ACBD7	46	57	42	51	9	13	18	4
ACCS	0	0	0	0	39	35	71	90
ACCSL	0	0	0	0	0	0	0	0
ACD	12	6	10	6	1249	998	1703	1721
ACE	0	0	0	0	1	0	1	0
ACE2	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0
ACER2	0	0	1	0	9	19	6	10
ACER3	0	1	1	1	154	148	302	295
ACHE	2	1	2	3	3	3	4	4
ACIN1	338	404	225	357	2176	1828	3210	3265
ACKR1	0	0	0	0	0	1	0	0
ACKR2	15	14	11	23	0	0	0	0
ACKR3	0	0	0	0	6	1	8	2
ACKR4	6	6	3	10	1	0	1	0
ACLY	62	121	50	49	7977	8654	11673	15084
ACMSD	9	17	10	10	0	0	3	4
ACO1	19	25	17	22	781	851	1108	1201
ACO2	915	903	847	832	828	871	1076	1750
ACOT1	13	11	29	14	366	261	402	415
ACOT11	0	0	0	1	11	1	11	6
ACOT12	0	0	0	0	0	0	0	0
ACOT13	733	309	419	439	115	65	231	212
ACOT2	182	159	183	190	596	416	741	679
ACOT4	0	0	0	1	17	13	15	20
ACOT6	1	0	0	0	0	0	0	0
ACOT7	14	8	9	13	2492	1851	3353	2931
ACOT8	289	300	220	214	315	218	425	525
ACOT9	6	9	6	3	922	679	1236	1275
ACOX1	133	111	127	129	709	577	937	1000
ACOX2	2	1	2	0	419	381	647	763
ACOX3	1	1	0	0	382	324	527	485
ACOXL	1	0	1	1	0	0	0	0
ACP1	7	5	3	2	744	652	1135	1045
ACP2	26	37	27	24	352	376	564	536
ACP5	1	1	0	1	81	78	128	105
ACP6	1	5	1	2	155	154	227	231
ACPP	0	2	1	0	1	0	0	0
ACPT	12	19	16	14	1	0	0	0
ACR	0	0	0	0	0	0	0	0
ACRBP	1	0	0	0	0	0	0	0
ACRC	0	0	0	0	3	4	3	11
ACRV1	20	29	22	14	2	0	0	4
ACSBG1	5	7	18	11	0	0	1	2
ACSBG2	17	13	12	11	0	0	0	0
ACSF2	4	0	3	4	209	193	272	333
ACSF3	2	2	1	0	304	254	409	391
ACSL1	12	7	4	3	745	569	878	949
ACSL3	34	50	17	32	3083	3115	5640	7480
ACSL4	15	12	7	10	2614	3112	4183	5088
ACSL5	18	16	8	9	15	16	23	21
ACSL6	18	18	13	9	2	0	5	14
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	1	0	0	2	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	138	40	40	61	4	8	2	0
ACSM4	48	49	27	31	0	0	1	0
ACSM5	0	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0
ACSS1	5	4	0	3	217	187	309	274
ACSS2	20	17	20	12	213	238	389	399
ACSS3	0	5	0	0	66	62	129	124
ACTA1	0	0	2	0	1169	539	1741	1062
ACTA2	8	9	8	5	67	45	116	154
ACTA2-AS1	47	30	26	26	0	0	0	0
ACTB	133	146	73	84	114933	99502	167016	189187
ACTBL2	0	0	0	0	10	4	15	4
ACTC1	0	0	0	0	43	32	96	46
ACTG1	124	138	73	76	73069	54177	108194	104045
ACTG1P17	7	9	9	7	0	0	0	0
ACTG1P20	10	13	11	8	0	0	0	0
ACTG1P4	0	0	1	0	0	0	0	0
ACTG2	0	0	0	0	48	22	101	41
ACTL10	10	7	7	4	46	29	44	63
ACTL6A	119	99	70	73	1945	2124	3046	3749
ACTL6B	0	0	0	0	0	0	0	0
ACTL7A	1	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	1	0
ACTL8	0	0	0	0	4	5	5	11
ACTL9	0	0	0	0	0	0	0	0
ACTN1	68	92	50	66	12061	10944	17831	18724
ACTN1-AS1	0	0	2	0	0	0	0	0
ACTN2	0	0	0	0	27	56	52	100
ACTN3	0	0	0	0	96	528	145	791
ACTN4	118	162	103	114	25013	20952	32697	31109
ACTR10	10	5	11	10	1054	994	1543	1647
ACTR1A	44	50	43	41	3047	2590	4327	4415
ACTR1B	2	3	5	3	647	682	938	947
ACTR2	199	237	152	179	6730	6336	9855	11179
ACTR3	99	110	52	76	4503	3817	6797	7769
ACTR3B	2	0	3	2	23	42	20	36
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	0	0	0	0	6	12	3	4
ACTR5	2	2	2	0	223	240	348	500
ACTR6	8	8	3	9	483	482	716	837
ACTR8	10	8	1	5	691	559	993	994
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	3	4	1	4	44	65	53	79
ACVR1	7	2	5	7	626	514	753	854
ACVR1B	8	8	5	3	124	127	185	192
ACVR1C	0	0	0	0	5	2	3	5
ACVR2A	52	27	25	28	196	200	257	325
ACVR2B	11	16	6	4	32	16	95	86
ACVR2B-AS1	32	23	18	24	0	0	0	0
ACVRL1	2	2	2	4	7	0	6	5
ACY1	1	0	0	0	832	602	1023	794
ACY3	0	0	0	0	1	2	3	5
ACYP1	1	2	2	2	80	45	99	101
ACYP2	29	41	28	33	30	20	48	35
ADA	4	3	0	2	89	89	97	95
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	1	0
ADAL	96	110	87	87	48	68	87	96
ADAM10	9	21	10	13	1489	1575	2277	3061
ADAM11	0	1	0	0	5	0	4	4
ADAM12	5	9	5	3	368	328	689	813
ADAM15	2	2	1	2	732	710	956	1005
ADAM17	27	23	28	17	915	1009	1286	1851
ADAM18	0	0	0	0	0	0	0	0
ADAM19	7	16	7	5	372	379	609	763
ADAM1A	0	3	1	0	0	0	0	0
ADAM2	0	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0	0
ADAM20P1	1	0	0	0	0	0	0	0
ADAM21	2	1	0	0	9	10	13	6
ADAM21P1	0	0	0	1	0	0	0	0
ADAM22	26	29	21	13	50	27	78	137
ADAM23	1	1	0	0	24	32	33	52
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	1	4	1	1
ADAM33	1	1	1	5	0	0	0	0
ADAM3A	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	1	0	1	1	5	17	2	34
ADAM9	26	53	28	26	1912	1723	3132	3910
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	7	2	3	7	236	329	388	593
ADAMTS10	0	0	0	0	0	0	0	0
ADAMTS12	1	0	2	1	102	115	176	227
ADAMTS13	2	3	0	1	0	0	0	0
ADAMTS14	0	0	0	0	10	3	9	19
ADAMTS15	0	0	0	0	12	6	29	49
ADAMTS16	2	11	2	2	108	96	165	253
ADAMTS17	2	7	6	3	0	0	5	0
ADAMTS18	0	1	0	0	0	0	0	0
ADAMTS19	0	0	0	0	2	0	3	3
ADAMTS19-AS1	0	0	0	0	0	0	0	0
ADAMTS2	3	4	5	1	69	17	159	108
ADAMTS20	0	0	0	0	0	0	0	0
ADAMTS3	0	0	0	1	21	31	46	64
ADAMTS4	36	40	24	35	802	761	1332	1572
ADAMTS5	0	0	0	0	3	4	13	10
ADAMTS6	3	8	2	1	80	79	132	183
ADAMTS7	2	0	1	1	95	106	150	123
ADAMTS7P1	0	0	0	0	0	0	0	0
ADAMTS8	0	0	1	0	1	1	0	5
ADAMTS9	1	1	0	1	31	28	77	44
ADAMTS9-AS1	23	30	13	12	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	3	5	3	4	836	1236	1251	1897
ADAMTSL2	7	12	7	7	0	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0
ADAMTSL4	13	19	15	18	3	9	15	8
ADAMTSL4-AS1	0	0	1	0	0	0	0	0
ADAMTSL5	2	3	2	2	5	2	13	15
ADAP1	0	2	0	0	8	0	7	1
ADAP2	0	0	0	0	0	0	0	0
ADAR	34	54	28	26	2605	2460	3605	4113
ADARB1	8	7	5	7	134	48	200	146
ADARB2	5	2	3	1	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0	0	0
ADAT1	21	29	17	22	213	223	341	358
ADAT2	8	8	5	5	32	23	50	40
ADAT3	0	0	0	0	58	68	103	126
ADCK1	0	1	0	0	39	41	80	61
ADCK2	2	3	3	5	151	74	191	113
ADCK3	12	6	4	3	327	281	422	386
ADCK4	6	7	3	3	422	320	558	599
ADCK5	6	4	4	0	67	112	76	102
ADCY1	9	17	10	15	1	0	4	1
ADCY10	1	0	0	0	0	0	0	0
ADCY10P1	2	3	0	2	0	0	0	0
ADCY2	1	2	2	2	0	0	0	0
ADCY3	2058	2067	1991	1839	273	231	414	632
ADCY4	0	0	1	0	0	1	0	0
ADCY5	32	27	31	14	2	0	1	0
ADCY6	4	4	3	7	493	327	574	553
ADCY7	310	288	233	216	287	260	560	703
ADCY8	1	0	0	0	1	0	0	0
ADCY9	1	4	0	3	79	46	182	140
ADCYAP1	0	0	0	0	0	0	0	0
ADCYAP1R1	0	1	0	2	0	0	11	11
ADD1	22	34	18	18	1810	1489	2705	2903
ADD2	29	33	16	28	899	708	1315	1164
ADD3	2	3	5	4	290	242	545	595
ADD3-AS1	9	16	13	11	0	0	0	0
ADGB	0	0	0	0	0	0	1	0
ADGRA1	0	0	0	0	1	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0
ADGRA2	42	45	49	42	74	58	154	158
ADGRA3	14	17	8	15	173	234	382	460
ADGRB1	0	0	0	0	0	0	0	1
ADGRB2	4	1	0	0	14	22	63	47
ADGRB3	0	0	0	0	5	8	14	12
ADGRD1	0	0	0	0	0	2	1	0
ADGRE1	2	2	0	0	184	157	218	234
ADGRE2	4	5	2	4	181	171	241	298
ADGRE3	0	0	0	0	0	0	0	0
ADGRE4P	3	5	5	5	0	0	0	0
ADGRE5	3	5	7	6	1186	1475	1775	2352
ADGRF1	0	2	4	4	1	0	0	0
ADGRF2	0	0	1	0	0	0	0	0
ADGRF3	32	37	14	29	6	15	9	8
ADGRF4	0	0	0	0	0	0	0	0
ADGRF5	0	0	0	0	3	2	4	0
ADGRG1	9	7	13	8	2715	2407	3434	3749
ADGRG2	7	4	5	4	0	0	2	0
ADGRG3	0	0	0	0	2	0	0	0
ADGRG4	2	0	0	0	0	0	0	0
ADGRG5	0	0	2	0	0	0	0	0
ADGRG6	0	1	0	1	58	35	111	162
ADGRG7	0	0	0	0	0	0	0	0
ADGRL1	71	96	64	82	62	40	142	137
ADGRL2	1	2	1	4	201	178	238	244
ADGRL3	0	2	0	0	53	34	122	92
ADGRL3-AS1	2	2	0	5	0	0	0	0
ADGRL4	0	3	1	0	386	569	633	915
ADGRV1	0	0	0	0	29	40	44	106
ADH1A	1	0	0	1	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	1	2	0
ADH4	3	2	1	0	0	0	0	0
ADH5	27	51	14	26	2818	2423	4391	5161
ADH6	0	2	0	0	0	0	0	0
ADH7	0	0	0	0	0	0	0	0
ADHFE1	0	0	0	0	1	0	4	0
ADI1	21	17	18	18	653	482	1033	730
ADIG	0	0	0	0	0	0	0	0
ADIPOQ	16	11	23	10	0	1	0	0
ADIPOQ-AS1	3	5	4	3	0	0	0	0
ADIPOR1	14	28	11	17	780	486	1124	744
ADIPOR2	49	71	45	42	566	466	867	763
ADIRF	23	27	28	16	0	0	2	8
ADK	1	3	1	4	1293	1341	1811	2172
ADM	1	1	0	1	571	433	675	882
ADM2	17	18	17	11	0	0	0	0
ADM5	0	0	1	0	1	1	0	7
ADNP	30	35	12	20	1441	1209	2031	2265
ADNP-AS1	31	39	22	26	0	0	0	0
ADNP2	3	5	1	4	551	579	731	997
ADO	2	2	2	7	607	576	638	694
ADORA1	0	6	0	1	53	27	93	80
ADORA2A	0	0	0	0	0	0	1	0
ADORA2A-AS1	19	29	20	16	0	0	0	0
ADORA2B	3	4	3	5	354	339	428	631
ADORA3	0	0	0	0	0	0	0	0
ADPGK	2	4	2	1	513	528	925	1045
ADPGK-AS1	138	157	74	113	0	0	0	0
ADPRH	0	1	0	0	29	26	31	49
ADPRHL1	0	0	0	0	2	0	1	1
ADPRHL2	0	2	2	0	405	373	464	528
ADPRM	0	3	2	1	88	68	140	117
ADRA1A	13	12	10	15	0	0	0	0
ADRA1B	0	1	1	3	70	42	140	103
ADRA1D	6	16	8	9	0	0	0	0
ADRA2A	0	0	0	0	0	2	1	0
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	0	0	0	0	1	2	0	0
ADRB1	0	0	0	0	7	2	2	5
ADRB2	1	0	0	3	23	10	33	21
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	5	10	4	3	432	310	674	619
ADRBK2	19	16	13	22	18	18	48	20
ADRM1	24	26	13	26	3371	2463	4344	3532
ADSL	0	2	4	2	1034	1045	1470	1568
ADSS	14	28	20	14	1588	2013	1998	2990
ADSSL1	0	0	0	0	2	7	5	0
ADTRP	1	0	1	0	1	0	1	3
AEBP1	6	9	4	6	0	0	0	0
AEBP2	7	7	4	10	539	452	777	633
AEN	3	4	5	5	672	557	793	855
AES	19	31	15	16	1318	1005	1981	1436
AFAP1	4	14	2	4	578	425	749	740
AFAP1-AS1	335	355	305	287	0	0	0	0
AFAP1L1	13	8	3	3	84	76	161	222
AFAP1L2	0	0	0	0	1	0	6	1
AFF1	3	7	2	2	425	370	507	518
AFF2	5	1	0	3	142	128	169	194
AFF3	20	25	23	28	184	171	262	335
AFF4	25	16	13	20	1624	1221	2344	2342
AFG3L1P	3	5	0	4	0	0	0	0
AFG3L2	388	404	421	381	1006	1109	1338	1934
AFM	0	0	0	0	0	0	0	0
AFMID	12	18	9	14	185	73	274	155
AFP	0	0	0	0	12	0	6	3
AFTPH	9	7	6	9	423	308	527	480
AGA	1	5	2	0	279	275	447	517
AGAP1	9	5	8	6	179	133	321	279
AGAP1-IT1	0	0	0	1	0	0	0	0
AGAP11	3	2	4	3	0	0	0	0
AGAP2	1366	1646	1883	1615	685	582	828	838
AGAP2-AS1	741	772	645	603	0	0	0	0
AGAP3	6	5	3	9	203	209	336	371
AGAP4	0	0	0	1	0	0	1	3
AGAP5	0	0	0	0	2	2	2	2
AGAP6	1	0	0	0	1	3	1	1
AGAP7P	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	1	0	3
AGBL1	0	0	0	0	1	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0	0	0
AGBL3	0	0	1	0	1	7	1	13
AGBL4	0	0	0	0	0	4	1	0
AGBL4-IT1	0	0	0	0	0	0	0	0
AGBL5	3152	3009	3493	2992	153	105	311	263
AGBL5-AS1	1	0	1	0	0	0	0	0
AGER	24	26	31	24	7	5	6	1
AGFG1	10	2	0	2	1065	1055	1519	2634
AGFG2	0	2	1	0	76	111	143	137
AGGF1	10	20	7	10	275	308	457	445
AGK	86	105	76	77	624	559	920	1061
AGL	0	4	1	2	260	334	475	621
AGMAT	37	19	24	22	0	0	0	0
AGMO	6	6	7	4	0	0	0	0
AGO1	13	17	10	7	292	254	444	414
AGO2	1	3	0	3	358	371	542	694
AGO3	1	3	2	1	323	289	399	402
AGO4	2	6	1	4	54	25	59	97
AGPAT1	52	32	29	27	631	447	966	722
AGPAT2	5	1	1	3	586	568	814	965
AGPAT3	10	15	2	10	331	229	509	436
AGPAT4	9	19	10	11	117	102	170	213
AGPAT4-IT1	3	2	2	0	0	0	0	0
AGPAT5	1	9	4	1	800	809	1130	1330
AGPAT6	23	28	16	27	378	303	574	611
AGPAT9	14	30	11	14	2643	1736	3179	2896
AGPS	31	63	36	54	1614	1637	2662	2915
AGR2	1	0	0	0	0	0	0	0
AGR3	0	0	0	0	0	0	0	0
AGRN	18	30	19	23	4315	7001	6256	11792
AGRP	5	3	4	1	0	0	0	0
AGT	0	0	0	0	1	2	4	4
AGTPBP1	3	3	1	4	286	293	444	525
AGTR1	1	0	0	0	2	7	15	8
AGTR2	0	0	0	0	0	0	0	0
AGTRAP	0	0	1	0	164	120	235	192
AGXT	0	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	0
AHCTF1	25	36	31	36	2058	2989	2979	4608
AHCTF1P1	0	0	0	0	0	0	0	0
AHCY	17	29	9	16	3981	4120	5177	6261
AHCYL1	16	14	11	12	1621	1372	2190	2625
AHCYL2	23	30	22	23	150	156	195	325
AHDC1	2	4	2	1	464	486	613	663
AHI1	8	5	1	7	88	78	135	151
AHNAK	275	424	174	234	1491	9090	2657	18286
AHNAK2	39	26	22	29	2243	2317	3358	4708
AHR	20	17	14	20	1383	1208	1577	1912
AHRR	6	4	3	5	253	213	265	373
AHSA1	30	73	54	47	3606	2979	4886	4473
AHSA2	63	48	35	43	1	8	2	18
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	13	12	4	7	0	0	0	0
AIDA	10	16	13	8	242	180	379	324
AIF1	1	0	0	0	1	0	0	0
AIF1L	3	10	4	0	20	19	47	33
AIFM1	22	31	17	18	715	693	1045	1362
AIFM2	11	13	5	9	586	650	828	967
AIFM3	2	1	0	1	0	0	1	0
AIG1	1	0	1	0	377	313	609	433
AIM1	127	118	79	89	1215	951	1726	1952
AIM1L	0	0	0	0	2	0	1	2
AIM2	2	5	1	4	210	193	291	270
AIMP1	41	62	42	45	739	780	1050	1295
AIMP2	114	121	89	117	914	732	1301	1381
AIP	10	17	9	17	1403	868	1844	1403
AIPL1	10	11	17	15	0	0	0	0
AIRE	6	2	0	3	0	0	0	0
AIRN	2	0	0	0	0	0	0	0
AJAP1	1	0	0	0	0	0	0	0
AJUBA	15	17	16	8	777	790	915	1130
AK1	15	19	13	11	616	382	896	753
AK2	65	105	81	83	1466	1251	2115	1840
AK3	27	15	15	18	442	503	713	576
AK4	6	9	7	12	515	451	723	567
AK5	1	0	4	1	10	9	20	7
AK6	4	4	2	4	496	412	810	859
AK7	0	0	0	0	1	0	0	0
AK8	4	3	1	4	0	0	1	0
AK9	0	1	2	0	10	8	18	26
AKAP1	23	27	19	19	447	425	648	703
AKAP10	1	1	1	0	200	201	262	306
AKAP11	8	9	5	3	1236	1405	1817	2458
AKAP12	227	427	119	154	12565	9408	20942	24903
AKAP13	51	50	29	32	1292	1167	2007	2470
AKAP14	3	0	0	2	0	0	0	0
AKAP17A	38	20	23	37	361	238	482	273
AKAP2	0	0	0	0	137	336	190	413
AKAP3	1	0	0	1	0	0	0	0
AKAP4	0	0	0	0	0	0	0	0
AKAP5	46	39	39	36	10	3	24	18
AKAP6	0	0	0	0	10	1	17	9
AKAP7	0	0	0	1	29	42	52	43
AKAP8	34	39	20	22	553	581	759	975
AKAP8L	19	12	7	11	369	256	473	353
AKAP9	35	31	22	22	458	753	814	1316
AKIP1	14	16	14	6	282	211	445	305
AKIRIN1	9	19	9	11	370	331	450	512
AKIRIN2	37	31	13	26	984	1093	1244	1904
AKNA	28	17	14	22	86	64	140	188
AKNAD1	4	1	0	0	6	9	10	27
AKR1A1	1	5	0	6	963	796	1223	1102
AKR1B1	5	15	12	7	2568	1804	3572	2837
AKR1B10	7	8	5	8	8	6	7	12
AKR1B15	0	0	0	0	4	6	1	4
AKR1C1	0	1	0	0	43	29	46	53
AKR1C2	2	1	0	0	47	31	52	51
AKR1C3	0	0	1	0	207	163	240	200
AKR1C4	1	1	0	0	25	49	38	39
AKR1C6P	1	0	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0	0	0
AKR1D1	6	7	4	8	0	0	0	0
AKR1E2	0	0	0	0	0	0	0	4
AKR7A2	5	12	9	5	660	560	882	960
AKR7A2P1	7	4	5	6	0	0	0	0
AKR7A3	0	0	0	0	50	44	50	66
AKR7L	1	3	2	1	0	0	0	0
AKT1	33	49	19	45	383	306	749	631
AKT1S1	85	97	87	109	670	629	756	805
AKT2	23	17	8	16	727	513	1192	967
AKT3	74	77	71	74	357	321	672	852
AKTIP	554	232	277	261	219	151	267	324
ALAD	19	25	11	18	577	364	832	663
ALAS1	10	18	9	15	604	808	989	1440
ALAS2	3	3	1	5	0	0	0	0
ALB	0	0	0	0	1	0	3	0
ALCAM	15	29	11	17	1409	1859	2625	4279
ALDH16A1	5	13	4	15	1359	1247	1587	1809
ALDH18A1	21	13	10	17	837	1738	996	2312
ALDH1A1	0	0	0	1	17	5	16	29
ALDH1A2	0	0	0	0	4	5	3	10
ALDH1A3	84	112	51	101	8128	6763	11054	11522
ALDH1B1	5	21	3	7	554	618	612	770
ALDH1L1	0	0	0	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	0	0	0
