GENES	XTAIL	BABEL	RIBOREX	RIBODIFF
CREB3L1	0.027206644	NA	NA	NA
CRHR1-IT1	NA	0.054619726	NA	NA
CRIPAK	NA	0.017291421	NA	NA
CRIPT	0.026321929	NA	NA	NA
CROCCP2	NA	0.003401081	NA	NA
CROCCP3	NA	0.081103866	NA	NA
CRYBB2P1	NA	0.025444503	NA	NA
CSAD	0.002843452	NA	0.005222231	0.006496199
CSDE1	0.026365252	NA	NA	NA
CSGALNACT2	0.013044881	NA	0.037705416	NA
CSNK1D	0.020072004	NA	NA	NA
CSNK1G3	0.007142255	NA	NA	NA
CSNK2A3	0.00044529	0.023946081	0.023423862	0.048174213
CSNK2B	0.020684748	NA	NA	NA
CSPG4	1.25E-05	NA	NA	NA
CSPP1	0.031080607	NA	NA	NA
CSTF2	0.03406546	NA	NA	NA
CTDNEP1	0.033208605	NA	NA	NA
CTBP1-AS2	NA	0.003299959	NA	NA
CTDSP1	0.026939758	NA	NA	NA
CTDSPL2	0.040666214	NA	NA	NA
CTNNBL1	0.044913345	NA	NA	NA
CTNND1	0.044895153	6.6E-05	NA	NA
CUL2	0.044895153	NA	NA	NA
CUL3	0.028306374	NA	0.042957062	NA
CUL4B	0.001526445	NA	NA	NA
CUL5	0.001951256	NA	0.032492057	0.048174213
CWC22	0.000378686	0.089472215	0.044757741	NA
CWC27	0.033328835	NA	NA	NA
CWF19L1	0.042350417	NA	NA	NA
CWF19L2	0.004612987	NA	NA	NA
CYB561D2	0.022516786	NA	NA	NA
CYB5B	0.013741645	NA	NA	NA
CYFIP1	0.018382223	NA	NA	NA
CYP4F11	0.049545778	NA	NA	NA
CYR61	0.041740638	NA	NA	NA
DANCR	NA	0.000281139	NA	NA
DBNL	0.000875915	NA	0.017255833	NA
DCAF7	0.003466259	NA	0.015788256	NA
DCLRE1C	0.003001964	NA	NA	NA
DCTN1	0.000191482	NA	NA	NA
DCTN2	0.005771781	NA	NA	NA
DCTN5	0.015540166	NA	NA	NA
DCTN6	NA	0.018002421	NA	NA
DDA1	0.000875915	NA	0.018070409	0.032883652
DDB1	9.49E-06	NA	0.013303435	0.033446298
DDHD1	0.023764944	NA	NA	NA
DDT	NA	6.09E-05	NA	NA
DDX12P	NA	0.007807234	NA	NA
DDX19A	0.002468544	NA	0.016075016	0.036703082
DDX19B	0.040053355	NA	NA	NA
DDX24	0.00111748	NA	NA	NA
DDX39A	0.000996426	NA	NA	NA
DDX46	0.003651412	NA	NA	NA
DDX56	0.028370695	NA	NA	NA
DDX60	0.010009446	0.051503486	NA	NA
DENND4A	NA	0.086088037	NA	NA
DERL1	0.004001872	NA	0.042957062	NA
DGKE	0.015682091	NA	NA	NA
DHRS4-AS1	NA	0.004912775	NA	NA
DHRSX	NA	0.003023837	NA	NA
DHX29	0.04741576	NA	NA	NA
DHX36	0.004814462	NA	NA	NA
DHX8	2.06E-06	NA	0.000139912	0.002511691
DICER1	1.35E-07	NA	0.00012937	0.000645539
DIS3	0.027570188	NA	NA	NA
DKFZP434I0714	NA	0.014384208	NA	NA
DKFZP586I1420	NA	0.026125664	NA	NA
DLEU1	NA	0.009612459	NA	NA
DLGAP1-AS1	NA	0.039803476	NA	NA
DLGAP5	NA	0.07086488	NA	NA
DLX2	0.004385901	NA	NA	NA
DMAP1	0.035872472	NA	NA	NA
DMTF1	2.47E-08	NA	6.04E-06	2.78E-05
DMXL1	0.000371191	NA	NA	NA
DNAH11	0.042615873	NA	NA	NA
DNAJA2	0.018674417	NA	NA	NA
DNAJB14	0.000208946	NA	0.015266729	0.02495545
DNAJC10	0.000491421	NA	0.014381418	0.026730658
DNAJC11	0.002998528	NA	0.037705416	NA
DNAJC13	0.004307644	NA	0.049388103	NA
DNAJC21	0.000669405	NA	0.018217576	0.031001914
DNAJC4	0.015540166	NA	0.037263687	NA
DNAJC5	0.04363732	NA	NA	NA
DND1	NA	0.027966916	NA	NA
DNM1L	0.018197954	NA	NA	NA
DOCK11	0.02687212	0.096364183	NA	NA
DPH1	0.043381285	NA	NA	NA
DPM3	NA	0.023534717	NA	NA
DPP8	0.0385794	NA	NA	NA
DPYSL3	0.000153132	NA	NA	NA
DRG1	0.040178706	NA	NA	NA
DSE	0.031333443	NA	NA	NA
DST	0.007899951	NA	NA	NA
DSTNP2	NA	0.012883923	NA	NA
DTNBP1	0.020423465	NA	NA	NA
DUS1L	0.028604247	NA	NA	NA
DYNC1H1	0.017544935	NA	NA	NA
DYNLL2	0.007859116	NA	0.031443926	NA
DYNLT1	0.022633457	NA	NA	NA
EBLN3	NA	7.29E-05	NA	NA
ECH1	0.000938398	NA	0.020428177	NA
ECHS1	0.000306884	NA	NA	NA
ECM1	0.01227885	NA	NA	NA
EDARADD	NA	0.001023093	NA	NA
EDC3	0.019358995	NA	NA	NA
EDEM3	0.001891307	NA	0.016158976	0.027213597
EDRF1	0.005105196	NA	0.049388103	NA
EEA1	0.011694855	0.008291388	NA	NA
EEF1A1	NA	0.09447874	NA	NA
EEF1G	0.025645361	NA	0.031727147	0.048174213
EFCAB13	0.013366899	NA	NA	NA
EFHD2	0.032768263	NA	NA	NA
EFTUD2	0.003258438	NA	NA	NA
EHBP1	0.000816654	NA	0.017067045	0.01973944
EIF2B2	0.000130004	NA	NA	NA
EIF2B3	0.010071951	NA	NA	NA
EIF3A	0.002407999	NA	NA	NA
EIF3B	0.031513931	NA	NA	NA
EIF3J-AS1	NA	0.09447874	NA	NA
EIF4A3	0.007691	NA	NA	NA
EIF4E	NA	0.031342158	NA	NA
EIF4G1	0.046556391	NA	NA	NA
EIF4G2	0.049336183	NA	NA	NA
EIF5	0.025164343	NA	NA	NA
EIF5A	0.022989466	NA	NA	NA
EIF5AL1	0.000563944	NA	NA	NA
EIF5B	0.005392847	NA	0.049388103	NA
EIF6	0.007759848	NA	NA	NA
ELAVL1	0.007693181	NA	NA	NA
ELK4	0.001951256	NA	0.037705416	NA
EMB	0.000479078	NA	NA	NA
EMC1	0.000257787	NA	NA	NA
EMC2	NA	0.043479773	NA	NA
EMC3-AS1	NA	0.003299959	NA	NA
EMC6	NA	6.6E-05	NA	NA
EML2-AS1	NA	0.049761343	NA	NA
EML5	0.009260589	NA	NA	NA
ENDOG	NA	0.068029898	NA	NA
ENO1	0.017805585	NA	NA	NA
ENSA	0.000945607	NA	0.003202452	0.010793476
ENTPD4	0.041321714	NA	NA	NA
EP400NL	NA	0.081999909	NA	NA
EPB41L4A-AS1	NA	0.003265125	NA	NA
EPC2	3.55E-05	NA	0.00404846	0.00787241
EPHX1	0.041774076	NA	NA	NA
EPM2AIP1	0.00812695	NA	NA	NA
ERBB2IP	2.25E-06	NA	0.00404846	0.007687497
ERBB3	0.010000977	NA	NA	NA
ERCC2	0.038774681	NA	NA	NA
ERCC4	0.023461264	NA	NA	NA
ERCC5	NA	0.073310214	NA	NA
ERCC6L2	0.000151445	NA	0.023345389	0.036594647
ERGIC2	0.006480368	NA	0.039418176	NA
ERVK13-1	NA	0.034720743	NA	NA
ESCO1	0.000295745	NA	0.004543254	0.008989029
ESF1	0.001622569	NA	0.022814363	0.033822288
ETAA1	1.63E-05	NA	0.002172859	0.003413479
ETNK1	0.00052989	NA	0.002690371	0.007485089
ETV4	0.009588159	NA	NA	NA
EVI5	9.38E-05	NA	0.002166206	0.003801457
EWSR1	0.003248127	NA	0.044019417	NA
EXD3	0.049640558	NA	NA	NA
EXOC1	0.015560244	NA	NA	NA
EXOSC2	0.038502766	NA	NA	NA
EXT2	0.006705106	NA	NA	NA
F11R	0.03001465	NA	NA	NA
FAF2	0.023118758	NA	NA	NA
FAHD2CP	NA	0.049203427	NA	NA
FAM103A1	NA	0.061750945	NA	NA
FAM120AOS	NA	0.072562409	NA	NA
FAM126B	0.011946581	NA	0.028827141	0.048470519
FAM127A	0.00928489	NA	NA	NA
FAM13B	0.003651412	NA	0.012799949	0.023601368
FAM173A	NA	0.002808402	NA	NA
FAM178A	0.026321929	NA	NA	NA
FAM179B	1.14E-06	NA	0.001168931	0.002501581
FAM189B	0.047407321	NA	NA	NA
FAM195A	NA	0.055302462	NA	NA
FAM200B	NA	0.06971691	NA	NA
FAM208A	0.000116641	NA	0.007139117	0.013034731
FAM208B	3.16E-10	NA	0.001095236	0.002247196
FAM217B	0.033727327	NA	NA	NA
FAM35A	0.018980677	NA	0.02200362	0.036703082
FAM50A	0.044159808	NA	NA	NA
FAM76B	0.003609927	NA	0.041048758	NA
FAM86DP	NA	0.060315771	NA	NA
FANCC	0.030314471	NA	NA	NA
FANCM	0.010120555	0.095536386	NA	NA
FAR1	0.009113032	NA	0.042957062	NA
FBLN5	0.008400847	NA	NA	NA
FBXL19-AS1	NA	0.016870999	NA	NA
FBXL8	NA	0.057323036	NA	NA
FBXO11	0.002700807	NA	NA	NA
FBXW2	0.012987459	NA	0.032491207	NA
FBXW5	0.013179599	NA	NA	NA
FBXW7	0.000699633	NA	0.004929728	0.011223767
FEM1B	0.001126057	NA	0.04237325	NA
FGD5-AS1	NA	9.41E-05	NA	NA
FGFR1	0.040367868	NA	NA	NA
FGFR1OP2	0.030883021	NA	NA	NA
FGL1	0.048143149	NA	NA	NA
FHIT	0.009395489	NA	NA	NA
FKBP4	0.006352698	NA	NA	NA
FKTN	0.006085036	NA	0.011298602	0.021192408
FLJ10038	NA	0.005124253	NA	NA
FLJ23867	NA	0.035925769	NA	NA
FLJ32255	NA	0.001050072	NA	NA
FLJ42627	NA	0.095212745	NA	NA
FLVCR1	0.042615873	NA	NA	NA
FN1	1.42E-05	NA	0.030478983	0.048174213
FNBP4	0.024167806	NA	NA	NA
FNDC3A	0.021933525	NA	NA	NA
FNTB	0.006449389	NA	NA	NA
FOXK1	0.01862651	NA	NA	NA
FOXO3B	NA	0.008275545	NA	NA
FOXRED1	0.035435249	NA	NA	NA
FRG1B	NA	0.0851494	NA	NA
FRMD4A	0.006626107	NA	NA	NA
FRS2	0.006167814	NA	0.013338145	0.020328054
FRS3	0.030424867	NA	NA	NA
FRYL	0.004689506	NA	NA	NA
FUS	0.000886669	NA	NA	NA
FXR1	0.003189249	NA	NA	NA
FXR2	0.038502766	NA	NA	NA
FXYD6	NA	0.063012176	NA	NA
FZD2	NA	0.066846256	NA	NA
G2E3	0.047407321	NA	NA	NA
G3BP1	0.029527461	NA	NA	NA
G6PD	0.049640558	NA	NA	NA
GABARAP	0.012039197	NA	NA	NA
GABPB1-AS1	NA	0.001149334	NA	NA
GALNT1	0.023029587	NA	NA	NA
GANAB	0.000126305	NA	0.008881567	0.016510997
GAR1	0.041650951	NA	NA	NA
GART	0.001891307	NA	NA	NA
GAS5	NA	6.6E-05	NA	NA
GATB	0.019547303	NA	NA	NA
GBA2	0.018440872	NA	NA	NA
GBAP1	NA	0.05885532	NA	NA
GCC2	0.000131924	0.00284984	0.026987203	0.043552325
GDA	0.000112246	NA	NA	NA
GEMIN4	0.000630902	NA	0.022487688	0.046524994
GHRLOS	NA	0.061641126	NA	NA
GLOD4	0.035435249	NA	NA	NA
GLTSCR2	0.012189068	NA	0.032542956	0.049353337
GLUD1P3	NA	0.030201011	NA	NA
GLUD2	NA	0.082858385	NA	NA
GLYR1	0.022531552	NA	NA	NA
GMPPA	0.047081818	NA	NA	NA
GMPPB	0.017268603	NA	NA	NA
GNA13	0.00928489	NA	NA	NA
GNL2	0.041504791	NA	NA	NA
GNL3L	0.005309546	NA	NA	NA
GOLGA2P5	NA	0.005015349	NA	NA
GOLGA4	4.72E-07	0.048991748	0.021483093	0.036594647
GOLGB1	0.004516321	NA	NA	NA
GOPC	0.036194828	NA	NA	NA
GOT2	2.56E-05	NA	0.032707178	NA
GPATCH2	0.003808682	NA	0.044868343	NA
GPBP1	3.5E-05	NA	0.002836389	0.007201015
GPI	0.007881819	NA	NA	NA
GPKOW	0.038021361	NA	NA	NA
GPR137	0.021588166	NA	NA	NA
GRB2	0.028350467	NA	NA	NA
GRIK1-AS2	NA	0.027603208	NA	NA
GS1-124K5.11	NA	0.006560994	NA	NA
GSTM1	1.12E-07	NA	NA	NA
GSTM2	0.034328402	NA	NA	NA
GSTM5	3.39E-10	NA	0.003928756	0.004738787
GTF2E2	0.01276108	NA	NA	NA
GTF2H1	0.026947557	NA	NA	NA
GTF2IRD2	NA	0.061027801	NA	NA
GTF3C1	0.021966947	NA	0.048689698	NA
GTF3C4	0.009096741	NA	NA	NA
GTPBP6	NA	NA	NA	NA
GUF1	0.016331917	NA	NA	NA
GTPBP6	NA	0.000239524	NA	NA
GUSBP1	NA	0.022634218	NA	NA
GUSBP11	NA	0.003509017	NA	NA
GUSBP4	NA	0.098255703	NA	NA
GVINP1	NA	0.000204065	NA	NA
H2AFJ	NA	0.026876255	NA	NA
H3F3C	0.00422511	0.033259857	NA	NA
HAGHL	NA	0.05885532	NA	NA
HARS	0.006721794	NA	NA	NA
HAS3	NA	0.00112662	NA	NA
HAUS3	0.025898696	NA	0.040141384	NA
HAUS6	0.042615873	NA	NA	NA
HBD	0.025870687	NA	NA	NA
